PC	covar	n	r	p
PC77	SMRIN	1301	0.04803363906304273	0.08329532233988277
PC77	SMTSISCH	1301	-0.10052521487462153	2.816705165937267e-4
PC78	SMRIN	1301	0.02670247261078081	0.33585505575805563
PC78	SMTSISCH	1301	0.004165654975911307	0.8806787716947533
PC79	SMRIN	1301	-0.031199637927331797	0.260782500292445
PC79	SMTSISCH	1301	-0.0221452564942989	0.4248149596625067
PC80	SMRIN	1301	0.049541610859738225	0.07404837491196782
PC80	SMTSISCH	1301	0.09103461230038878	0.0010117704259435816
PC81	SMRIN	1301	0.06238320282694411	0.024439281302066043
PC81	SMTSISCH	1301	0.003662986037645783	0.8949881905867817
PC82	SMRIN	1301	-0.01618669467949136	0.5596772204621493
PC82	SMTSISCH	1301	0.060036345053113054	0.030361240482759018
PC83	SMRIN	1301	-0.004186038524718948	0.8800993034416442
PC83	SMTSISCH	1301	0.03736688774413033	0.17798820175139438
PC84	SMRIN	1301	0.01710568748841079	0.5376018284649037
PC84	SMTSISCH	1301	-0.005589187919419359	0.8403808729323861
PC85	SMRIN	1301	0.004709766624424794	0.8652334898354069
PC85	SMTSISCH	1301	0.022381621255569972	0.4198876388633218
PC86	SMRIN	1301	0.005623762918543716	0.8394068472703053
PC86	SMTSISCH	1301	0.01744161511109691	0.5296428533873085
PC87	SMRIN	1301	-0.01574406713670309	0.5704641810343096
PC87	SMTSISCH	1301	-0.006715023347931618	0.8087982750989389
PC88	SMRIN	1301	-0.035590871671833064	0.19952253241394274
PC88	SMTSISCH	1301	0.04649476253357208	0.09367323408831073
PC89	SMRIN	1301	0.012920560727146	0.6414960781462131
PC89	SMTSISCH	1301	0.0679203176911241	0.014272983546283457
PC90	SMRIN	1301	-0.04854101519338003	0.08008501774262142
PC90	SMTSISCH	1301	0.04769823634786587	0.08547410369886543
PC91	SMRIN	1301	-0.06097429065173577	0.027861063602284065
PC91	SMTSISCH	1301	0.02123419632672403	0.44412012063793316
PC92	SMRIN	1301	0.013271836641837988	0.6324596075003679
PC92	SMTSISCH	1301	0.049786152810161924	0.07263096945429427
PC93	SMRIN	1301	0.006758839347563072	0.8075750373753561
PC93	SMTSISCH	1301	-0.027990583917659753	0.31305610315840654
PC94	SMRIN	1301	-0.02698690317956617	0.33073111885036144
PC94	SMTSISCH	1301	-0.00979759373242585	0.7240420416847161
PC95	SMRIN	1301	-0.01793258967497077	0.5181190337126731
PC95	SMTSISCH	1301	0.005496626729220877	0.8429896478044936
PC96	SMRIN	1301	-0.019499861992289813	0.48221865205975056
PC96	SMTSISCH	1301	0.022592075023537186	0.4155288304251641
PC97	SMRIN	1301	0.003877831473309065	0.8888677553683247
PC97	SMTSISCH	1301	0.01489177746189818	0.5915089910203515
PC98	SMRIN	1301	-0.011101905321252903	0.6891077348882634
PC98	SMTSISCH	1301	-0.0026557128554220632	0.9237604270655166
PC99	SMRIN	1301	0.018969786624215185	0.4942074388747304
PC99	SMTSISCH	1301	0.0018644984132467847	0.9464330634294199
PC100	SMRIN	1301	-0.03654091921164719	0.18777789455596655
PC100	SMTSISCH	1301	-0.022088550493224328	0.42600206719615374
PC101	SMRIN	1301	0.043224750580209796	0.11915751881673238
PC101	SMTSISCH	1301	0.06738477229108972	0.015059129736191874
PC102	SMRIN	1301	-0.025843886331599557	0.35162991941221
PC102	SMTSISCH	1301	-0.013410392306922701	0.6289102254489378
PC103	SMRIN	1301	0.02613035459363186	0.34631528945432033
PC103	SMTSISCH	1301	0.014713875623725815	0.5959463055130932
