PC,n_age,r_age,p_age,n_sex,r_sex,p_sex,lm_n,lm_beta_age_mid,lm_p_age_mid,lm_beta_sex_num,lm_p_sex_num,scope
PC498,1301,-0.0011506618772639697,0.9669261696668381,1301,-8.045677662227376e-4,0.9768706772738113,1301,-8.447006567366236e-5,0.9684502427543589,-0.0016624710844506177,0.977616809727327,both_depots
PC499,1301,0.016571360217410548,0.5503837984140728,1301,6.138695302237351e-4,0.982351745587022,1301,0.001289045251505721,0.5456279057381186,-4.936830355768462e-4,0.9933436792034891,both_depots
PC500,1301,-0.03799041984754086,0.1708530278037976,1301,-0.0015471518226989108,0.9555400146075683,1301,-0.0029138444569367667,0.17135214895564804,-9.570105639010859e-5,0.9987075588434573,both_depots
PC501,1301,-0.014246731131017728,0.6076695635519195,1301,-0.0015251743419878766,0.9561709346689165,1301,-0.0010888121710937487,0.6090201885995169,-0.0020470658956332527,0.9723500399985311,both_depots
PC502,1301,2.3372926291177532e-4,0.993280003985753,1301,0.002352875693802783,0.932432077825937,1301,1.6903715001303e-5,0.9936552668787415,0.0048319681271237385,0.9347031809990344,both_depots
PC503,1301,-0.017803141903121433,0.5211447241501784,1301,9.458238672302234e-4,0.9728113686250206,1301,-0.0013690996575476246,0.5192712791268239,0.0035709865616109027,0.9516849410729754,both_depots
PC504,1301,0.01289352722524122,0.6421937328629519,1301,9.88566815904483e-4,0.9715831886108279,1301,9.882135957923006e-4,0.64155402865962885,9.070345438955686e-4,0.9877121080276956,both_depots
PC505,1301,0.03887423109581089,0.1611090713318126,1301,0.001873656698472189,0.9461703445273191,1301,0.002963535513840776,0.16212720005485698,7.841015700866313e-4,0.9893594527343872,both_depots
PC506,1301,-7.154145889372973e-4,0.9794330070416791,1301,-0.003061626036895757,0.9121515873637436,1301,-5.121824778660603e-5,0.9806969374228818,-0.006277940358833126,0.9148759735870593,both_depots
PC507,1301,0.004633101079928713,0.8674067666540513,1301,0.0017685397051790967,0.9491861247892197,1301,3.5162887111916887e-4,0.8680290657722882,0.0032691209723733207,0.9555966601525051,both_depots
PC508,1301,0.012033258788070596,0.6645566727101246,1301,-0.00280010776029249,0.9196288428576995,1301,9.278588946139218e-4,0.6606200384380221,-0.006988631721602614,0.9051194121528208,both_depots
PC509,1301,0.0021384691755903782,0.938576451792972,1301,0.001856940877607388,0.9466498668548549,1301,1.5506979172452397e-4,0.9414586501977487,0.0037955247104525767,0.9483450033071696,both_depots
PC510,1301,0.00993379037038189,0.7203657227661298,1301,-0.0022792328132671255,0.9345420704865093,1301,7.614811311005243e-4,0.7181199093095119,-0.005616501567656838,0.9235489550539507,both_depots
PC511,1301,-0.0020150033722372038,0.9421163658352188,1301,6.899189924160478e-4,0.9801658099087278,1301,-1.5077865557639817e-4,0.9430176502502929,0.0015121564574024711,0.9793871835915472,both_depots
PC512,1301,0.012490829993178038,0.6526232272629346,1301,-3.698748901863811e-4,0.9893658431805417,1301,9.619109911015419e-4,0.6471717774159302,-0.0021689616391041538,0.9703265108491876,both_depots
PC513,1301,0.00871661062783592,0.7534401715743374,1301,0.002049192350356721,0.9411360091043207,1301,6.533790552161737e-4,0.7554476720169272,0.0035690349928672906,0.9511023465921651,both_depots
PC514,1301,0.027397873438914963,0.3234173313225005,1301,-6.610200481849983e-4,0.9809964531029187,1301,0.0020755769893965035,0.32221245809425325,-0.003714271258959304,0.9490809123235378,both_depots
PC515,1301,3.954472395409702e-5,0.9988630288207867,1301,-0.0014260666570768078,0.959016410471779,1301,1.8148054098410752e-5,0.9930870426200571,-0.003258965688490381,0.9552791979957346,both_depots
PC516,1301,0.010924658762188504,0.6938183258138859,1301,-0.002741039838397896,0.9213187030147008,1301,8.358628573743798e-4,0.6895498477806697,-0.0067281093543026475,0.9077349560972616,both_depots
PC517,1301,-0.008621139797943734,0.7560545333776942,1301,-4.6778557999365696e-4,0.9865510821159635,1301,-6.466430677781994e-4,0.7569712257066774,-2.999592572651337e-4,0.9958717361492204,both_depots
PC518,1301,0.011724304112622123,0.6726627409715692,1301,4.466249549848621e-4,0.987159400108528,1301,8.789468058482074e-4,0.6736077127539903,7.967369880181181e-6,0.9998901965635236,both_depots
PC519,1301,0.0026820289300460093,0.9230072864739499,1301,0.0032355474428363198,0.9071831329232176,1301,1.8806354269036018e-4,0.9281571246162226,0.00662658763666096,0.9088352659557293,both_depots
PC520,1301,0.03400779268371322,0.22026814882562737,1301,8.323067153070148e-4,0.976073486275187,1301,0.0025382695832767083,0.2229226940598087,-7.394725671661436e-4,0.9897862478104391,both_depots
PC521,1301,0.005092670524352297,0.8543946726950198,1301,5.019365786378275e-4,0.9855693381871697,1301,3.8513803097488974e-4,0.8531681759564625,5.130802981355199e-4,0.9929094753912755,both_depots
PC522,1301,0.0031496788456763297,0.9096357206075816,1301,-0.0012834020511942842,0.9631133534857137,1301,2.3586631604117754e-4,0.9095545930568882,-0.0028328774916769215,0.9607783439433977,both_depots
PC523,1301,-0.004221642291144464,0.8790873053210784,1301,0.0020178411088017123,0.9420349913991822,1301,-2.9984099188785153e-4,0.8851053943553986,0.003994281981900809,0.9446868944712231,both_depots
PC524,1301,0.008905949190804625,0.7482637173572437,1301,0.0023478721032442326,0.9325754242826364,1301,6.444181564516929e-4,0.7559333548488234,0.0044907341375544875,0.9377712452890511,both_depots
