PC	covar	n	p
PC164	SMCENTER	1301	0.21556668648228489
PC164	SMNABTCH	1301	0.3241237341164666
PC164	SMGEBTCH	1301	0.14607064226157737
PC165	SMCENTER	1301	0.6682239795455304
PC165	SMNABTCH	1301	0.24220219645376714
PC165	SMGEBTCH	1301	2.9462419898037905e-4
PC166	SMCENTER	1301	0.7527866145236646
PC166	SMNABTCH	1301	0.07457858522444935
PC166	SMGEBTCH	1301	0.09792817995135723
PC167	SMCENTER	1301	0.4445713803545406
PC167	SMNABTCH	1301	0.04538214864065513
PC167	SMGEBTCH	1301	0.0015423769077507479
PC168	SMCENTER	1301	0.26035690758236735
PC168	SMNABTCH	1301	0.6283454932153788
PC168	SMGEBTCH	1301	0.2821774307145487
PC169	SMCENTER	1301	0.9171466423605944
PC169	SMNABTCH	1301	0.6716030202300232
PC169	SMGEBTCH	1301	0.004251948523127716
PC170	SMCENTER	1301	0.30280798597222647
PC170	SMNABTCH	1301	0.2124279736137956
PC170	SMGEBTCH	1301	3.824981019084148e-4
PC171	SMCENTER	1301	0.9655020500027374
PC171	SMNABTCH	1301	0.5639041479451261
PC171	SMGEBTCH	1301	0.16280973367918206
PC172	SMCENTER	1301	0.19906434870187453
PC172	SMNABTCH	1301	0.03272349734508942
PC172	SMGEBTCH	1301	0.05692772368076913
PC173	SMCENTER	1301	0.8687069865978312
PC173	SMNABTCH	1301	0.017189494701366523
PC173	SMGEBTCH	1301	0.16332728637895097
PC174	SMCENTER	1301	0.9049683258584353
PC174	SMNABTCH	1301	0.11620048555043463
PC174	SMGEBTCH	1301	0.06329046186221457
PC175	SMCENTER	1301	0.024294053980214003
PC175	SMNABTCH	1301	0.26361307492445457
PC175	SMGEBTCH	1301	0.19921001629386578
PC176	SMCENTER	1301	0.7847393880649097
PC176	SMNABTCH	1301	0.8219256416061962
PC176	SMGEBTCH	1301	0.14493937596342046
PC177	SMCENTER	1301	0.9625775551284208
PC177	SMNABTCH	1301	0.27935993068060266
PC177	SMGEBTCH	1301	0.023916682043047376
PC178	SMCENTER	1301	0.9181023909465017
PC178	SMNABTCH	1301	0.004951414189250718
PC178	SMGEBTCH	1301	0.12228026125820331
PC179	SMCENTER	1301	8.237453955469163e-4
PC179	SMNABTCH	1301	0.43655448305881145
PC179	SMGEBTCH	1301	0.03924970509446392
PC180	SMCENTER	1301	0.92752086495911
PC180	SMNABTCH	1301	0.5950935958864156
PC180	SMGEBTCH	1301	0.03869463066937458
PC181	SMCENTER	1301	0.3430286272370966
PC181	SMNABTCH	1301	0.13217847155761533
PC181	SMGEBTCH	1301	0.0782943476756601
PC182	SMCENTER	1301	0.48102491529051516
PC182	SMNABTCH	1301	0.1334413676088189
PC182	SMGEBTCH	1301	0.17994916624185625
PC183	SMCENTER	1301	0.7913931334240225
PC183	SMNABTCH	1301	0.0970898387186709
PC183	SMGEBTCH	1301	6.179811077270126e-4
PC184	SMCENTER	1301	0.3298620302782078
PC184	SMNABTCH	1301	0.044586380011273886
PC184	SMGEBTCH	1301	0.009074832159446579
PC185	SMCENTER	1301	0.2948548691847684
PC185	SMNABTCH	1301	0.53713787910356
PC185	SMGEBTCH	1301	0.012430376161953945
PC186	SMCENTER	1301	0.03939715220300789
PC186	SMNABTCH	1301	0.08202591334315246
PC186	SMGEBTCH	1301	0.01581510428180589
PC187	SMCENTER	1301	0.40094872489234656
PC187	SMNABTCH	1301	0.007435442480985148
PC187	SMGEBTCH	1301	0.020522906158484632
PC188	SMCENTER	1301	0.26223328728086537
PC188	SMNABTCH	1301	0.3145201652584547
PC188	SMGEBTCH	1301	0.15630250802643694
PC189	SMCENTER	1301	0.2677708518959208
PC189	SMNABTCH	1301	0.12252518693539767
PC189	SMGEBTCH	1301	0.07445619824517546
PC190	SMCENTER	1301	0.7675457687011111
PC190	SMNABTCH	1301	0.02734818333579985
PC190	SMGEBTCH	1301	0.462508686743327
PC191	SMCENTER	1301	0.7836562822824003
