PC,covar,n,p
PC549,SMCENTER,1301,0.11578578071271242
PC550,SMCENTER,1301,0.7555976031310749
PC551,SMCENTER,1301,0.4333157075865563
PC552,SMCENTER,1301,0.4329112120795432
PC553,SMCENTER,1301,0.409550449411812
PC554,SMCENTER,1301,0.15580355428524292
PC555,SMCENTER,1301,0.8847781818854217
PC556,SMCENTER,1301,0.6433114662854198
PC557,SMCENTER,1301,0.08846101481608161
PC558,SMCENTER,1301,0.5522750092496077
PC559,SMCENTER,1301,0.5721634613163747
PC560,SMCENTER,1301,0.8071983976369532
PC561,SMCENTER,1301,0.5582873596179312
PC562,SMCENTER,1301,0.3772329265390179
PC563,SMCENTER,1301,0.3862056015950989
PC564,SMCENTER,1301,0.7701887879407894
PC565,SMCENTER,1301,0.6753435438202576
PC566,SMCENTER,1301,0.8830246354242064
PC567,SMCENTER,1301,0.61497568643578715
PC568,SMCENTER,1301,0.5783769982354239
PC569,SMCENTER,1301,0.36399506991126096
PC570,SMCENTER,1301,0.013110568532358806
PC571,SMCENTER,1301,0.5878742263045724
PC572,SMCENTER,1301,0.13535144382156644
PC573,SMCENTER,1301,0.4120987485352279
PC574,SMCENTER,1301,0.5874393194914456
PC575,SMCENTER,1301,0.7456598880492542
PC576,SMCENTER,1301,0.41757829741100405
PC577,SMCENTER,1301,0.29983046278786313
PC578,SMCENTER,1301,0.827750739446119
PC579,SMCENTER,1301,0.7198409654955769
PC580,SMCENTER,1301,0.5438280047671664
PC581,SMCENTER,1301,0.8111438648327023
PC582,SMCENTER,1301,0.7033077924318574
PC583,SMCENTER,1301,0.6882986886800169
PC584,SMCENTER,1301,0.05698612035879913
PC585,SMCENTER,1301,0.23378500167357835
PC586,SMCENTER,1301,0.8295169037051114
PC587,SMCENTER,1301,0.8844500888641106
PC588,SMCENTER,1301,0.9464645896738791
PC589,SMCENTER,1301,0.5725445555775621
PC590,SMCENTER,1301,0.30408394900810104
PC591,SMCENTER,1301,0.5942076251444011
PC592,SMCENTER,1301,0.9053943232313845
PC593,SMCENTER,1301,0.5282814546560458
PC594,SMCENTER,1301,0.7561574995809123
PC595,SMCENTER,1301,0.816894894899561
PC596,SMCENTER,1301,0.041141018353425304
PC597,SMCENTER,1301,0.5802569355762864
PC598,SMCENTER,1301,0.7049587689368721
PC599,SMCENTER,1301,0.004712102333627398
PC600,SMCENTER,1301,0.7805246843548181
PC601,SMCENTER,1301,0.7342402878513257
PC602,SMCENTER,1301,0.2148481859184511
PC603,SMCENTER,1301,0.8748343868709805
PC604,SMCENTER,1301,0.4989435650279983
PC605,SMCENTER,1301,0.7648254178480192
PC606,SMCENTER,1301,0.03372057811037229
