depot	comparison	score_name	model	effect	n	estimate	se	t	p	padj_within
subcutaneous	40-49_vs_60-69	fibroblast_ecm	tech_comp	sex_interaction_female_minus_male	342	-2.4149906387807246e-17	5.909346971819767e-17	-0.40867301417520846	0.6830439107451078	1
subcutaneous	40-49_vs_60-69	camp_pka_feedback	base	male_old_vs_young	342	0.2460812258801785	0.0743868934456953	3.308126129233039	0.001040944282069595	0.00832755425655676
subcutaneous	40-49_vs_60-69	camp_pka_feedback	base	female_old_vs_young	342	0.1609359949435229	0.09932189207205336	1.6203476553464307	0.10609570413562694	1
subcutaneous	40-49_vs_60-69	camp_pka_feedback	base	sex_interaction_female_minus_male	342	-0.0851452309366556	0.12361752516536191	-0.6887796113274205	0.49143728199545655	1
subcutaneous	40-49_vs_60-69	camp_pka_feedback	tech	male_old_vs_young	342	0.1509426880552796	0.07355865332254766	2.052004505756928	0.040948413428505234	0.30829155802250036
subcutaneous	40-49_vs_60-69	camp_pka_feedback	tech	female_old_vs_young	342	0.08885248648489488	0.09676179864189474	0.9182599717242608	0.35914540233160175	1
subcutaneous	40-49_vs_60-69	camp_pka_feedback	tech	sex_interaction_female_minus_male	342	-0.06209020157038472	0.1190429528296342	-0.5215781370884155	0.6023097700201088	1
subcutaneous	40-49_vs_60-69	camp_pka_feedback	tech_comp	male_old_vs_young	342	0.11289060200751046	0.06946436587975385	1.6251584618641663	0.10508054411465803	0.8406443529172642
subcutaneous	40-49_vs_60-69	camp_pka_feedback	tech_comp	female_old_vs_young	342	0.05929692455182918	0.09075234657377032	0.65339274179129	0.51395672886578	1
subcutaneous	40-49_vs_60-69	camp_pka_feedback	tech_comp	sex_interaction_female_minus_male	342	-0.05359367745568128	0.1116790973826567	-0.4798899589244366	0.6316225946243957	1
subcutaneous	40-49_vs_60-69	receptor_desensitization	base	male_old_vs_young	342	0.05305855408045533	0.09408357141856026	0.5639513177535291	0.5731634791754656	1
subcutaneous	40-49_vs_60-69	receptor_desensitization	base	female_old_vs_young	342	-0.031104705730144164	0.1256210320573392	-0.2476074684368661	0.8045893706319633	1
subcutaneous	40-49_vs_60-69	receptor_desensitization	base	sex_interaction_female_minus_male	342	-0.0841632598105995	0.1563498315193325	-0.5383009306293547	0.5907257169440951	1
subcutaneous	40-49_vs_60-69	receptor_desensitization	tech	male_old_vs_young	342	0.07968288553114161	0.09648291203330865	0.8258756276306504	0.40946417167895166	1
subcutaneous	40-49_vs_60-69	receptor_desensitization	tech	female_old_vs_young	342	-0.027650628639139446	0.1269172243490348	-0.2178634837072824	0.8276685193409796	1
subcutaneous	40-49_vs_60-69	receptor_desensitization	tech	sex_interaction_female_minus_male	342	-0.10733351417028106	0.15614221070203124	-0.687408700617845	0.4923022627464858	1
subcutaneous	40-49_vs_60-69	receptor_desensitization	tech_comp	male_old_vs_young	342	0.06176563509342247	0.059502290081714496	1.0380379479277138	0.30001008248328676	1
subcutaneous	40-49_vs_60-69	receptor_desensitization	tech_comp	female_old_vs_young	342	-0.08768968937809254	0.07773730290400092	-1.1280258782116739	0.26012596240719443	1
subcutaneous	40-49_vs_60-69	receptor_desensitization	tech_comp	sex_interaction_female_minus_male	342	-0.14945532447151502	0.09566289081267908	-1.5623124411342413	0.11916995042715595	1
subcutaneous	40-49_vs_60-69	alpha2_antilipolytic_axis	base	male_old_vs_young	342	0.1093237398984526	0.06363907274476245	1.7178713514088721	0.08674138935862001	0.34696555743448004
subcutaneous	40-49_vs_60-69	alpha2_antilipolytic_axis	base	female_old_vs_young	342	-0.15383794551918115	0.08497132790382209	-1.8104688877324393	0.07111625236059115	0.7822787759665026
subcutaneous	40-49_vs_60-69	alpha2_antilipolytic_axis	base	sex_interaction_female_minus_male	342	-0.26316168541763374	0.10575659652017935	-2.488371355326474	0.013316881669729374	0.1598025800367525
subcutaneous	40-49_vs_60-69	alpha2_antilipolytic_axis	tech	male_old_vs_young	342	0.1743170709696011	0.06395890299158383	2.725454359224063	0.006759697452929038	0.07435667198221942
subcutaneous	40-49_vs_60-69	alpha2_antilipolytic_axis	tech	female_old_vs_young	342	-0.09825674569901668	0.08413392868261077	-1.1678611380396038	0.24369576768907367	1
subcutaneous	40-49_vs_60-69	alpha2_antilipolytic_axis	tech	sex_interaction_female_minus_male	342	-0.2725738166686178	0.10350728742240875	-2.633378030246855	0.008847172321019415	0.10616606785223298
